wavelength (nm),counts
350,7.88
351,8.52
352,2.54
353,5.78
354,4.11
355,8.53
356,6.52
357,5.64
358,10.15
359,15.38
360,17.41
361,11.49
362,13.89
363,12.14
364,7.57
365,8.05
366,12.49
367,4.62
368,10.63
369,21.31
370,12.89
371,16.3
372,20.89
373,17.59
374,19.13
375,18.87
376,15.25
377,22.24
378,19.45
379,18.46
380,22.26
381,26
382,24
383,24.89
384,30.22
385,27.67
386,35.1
387,32.8
388,34.74
389,27.11
390,39.98
391,36.37
392,37.69
393,34.59
394,49.54
395,49.04
396,48.36
397,47.55
398,55.14
399,61.09
400,60.56
401,64.8
402,63.42
403,59.46
404,63.3
405,66.07
406,77.45
407,63.82
408,80.02
409,83.78
410,68.94
411,89.24
412,91.89
413,94.92
414,85.69
415,97.87
416,94.32
417,103.84
418,120.78
419,116.91
420,116.46
421,117.98
422,113.84
423,125.72
424,129.14
425,129.96
426,144.49
427,140.56
428,143.73
429,145.88
430,163.14
431,162.72
432,174.92
433,176.93
434,180.51
435,187.08
436,187.57
437,198.54
438,203.07
439,210.15
440,206.47
441,208.08
442,240.84
443,225.01
444,227.59
445,237.26
446,241.85
447,251.97
448,253.12
449,250.68
450,255.22
451,262.33
452,289.68
453,289.17
454,298.48
455,290.59
456,302.17
457,313.51
458,328.03
459,345.91
460,337.61
461,363
462,376.02
463,374.25
464,430.28
465,427.28
466,436.69
467,455.59
468,473.75
469,499.17
470,518.28
471,527.7
472,566.51
473,590.3
474,620.09
475,630.74
476,698.88
477,688.13
478,711.15
479,754.71
480,763.11
481,808.37
482,863.55
483,872.14
484,882.78
485,922.63
486,945.4
487,985.08
488,1004.51
489,1026.07
490,1043.78
491,1051.28
492,1078.06
493,1107.1
494,1136.84
495,1146.29
496,1168.27
497,1185.67
498,1207.88
499,1229.01
500,1265.81
501,1257.92
502,1301.23
503,1294.13
504,1320.67
505,1339.49
506,1368.34
507,1394.94
508,1404.8
509,1430.87
510,1453.01
511,1477.39
512,1493.79
513,1514.08
514,1547.81
515,1530.47
516,1550.75
517,1561.44
518,1599.33
519,1599
520,1632.01
521,1642.65
522,1652.09
523,1661.97
524,1664.47
525,1689.45
526,1709.75
527,1720.57
528,1716.05
529,1703.19
530,1730.5
531,1752.5
532,1789.77
533,1795.14
534,1789.73
535,1837.67
536,1862.4
537,1841.74
538,1873.37
539,1915.46
540,1942.63
541,1976.64
542,1984.81
543,2001.07
544,2048.46
545,2048.97
546,2087.47
547,2070.03
548,2087.89
549,2145.33
550,2174.54
551,2169.58
552,2136.47
553,2187.23
554,2184.96
555,2208.22
556,2220.35
557,2230.61
